raw_State,raw_District,raw_Date,raw_Year,raw_Month,raw_Avg_rainfall,raw_Agency_name
Himachal Pradesh,Mandi,2019-07-01,2019,07,8.20962521,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-06,2019,07,5.678465628,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-07,2019,07,7.351849417,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-09,2019,07,102.8354914,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-10,2019,07,18.63891821,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-11,2019,07,4.749169685,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-12,2019,07,8.946230169,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-15,2019,07,19.04676215,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-18,2019,07,2.807500449,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-23,2019,07,0.155516217,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-24,2019,07,19.95366935,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-27,2019,07,9.519796081,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-07-28,2019,07,3.573297986,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-02,2019,08,21.21566748,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-03,2019,08,0.539386962,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-11,2019,08,65.11526592,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-14,2019,08,17.06554812,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-18,2019,08,56.21040466,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-21,2019,08,2.11335621,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-08-27,2019,08,5.831145805,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-06,2019,09,0.866310544,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-12,2019,09,13.06986649,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-13,2019,09,0.01509892,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-17,2019,09,0.013827362,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-09-29,2019,09,77.40488838,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-03,2019,10,1.35101385,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-11,2019,10,0.031722379,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-12,2019,10,0.055176302,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-14,2019,10,0.226643583,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-10-19,2019,10,0.856936964,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-08,2019,11,3.518827366,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-12,2019,11,0.127728345,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-20,2019,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-22,2019,11,6.829538615,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-24,2019,11,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-11-28,2019,11,22.02845275,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-02,2019,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-03,2019,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-05,2019,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-09,2019,12,0.0,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-12,2019,12,22.5680594,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-15,2019,12,0.12069816,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-16,2019,12,0.10192437,NRSC VIC MODEL
Himachal Pradesh,Mandi,2019-12-20,2019,12,9.735914358,NRSC VIC MODEL
