imd_rainfall_mm,imd_rainfall_mm_log1p,rain_intensity_class,cloudburst_flag,landslide_risk
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
15.493182182312012,2.8029470944434496,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
4.114819049835205,1.632142022401527,1,0,0
0.2649645209312439,0.2350440750914988,0,0,0
0.2649645209312439,0.2350440750914988,0,0,0
0.2649645209312439,0.2350440750914988,0,0,0
0.2649645209312439,0.2350440750914988,0,0,0
0.2649645209312439,0.2350440750914988,0,0,0
0.2649645209312439,0.2350440750914988,0,0,0
0.2649645209312439,0.2350440750914988,0,0,0
0.2649645209312439,0.2350440750914988,0,0,0
